Index,Company ,Company Twitter 
243,Fortive Corp. ,@FortiveCorp
244,Northern Trust Corporation,@NorthernTrust
245,Aptiv PLC,@Aptiv
246,MSCI Inc. ,@MSCI_Inc
247,Weyerhaeuser Company,@Weyerhaeuser
248,American Water Works Company Inc.,@amwater
249,Fortive Corp. ,
250,Ball Corporation,@BallCorpHQ
251,ResMed Inc.,@ResMed
252,Royal Caribbean Cruises Ltd.,@RoyalCaribbean
253,ANSYS Inc.,@ANSYS
254,AMETEK Inc.,@AMETEKInc
255,Kroger Co. ,@kroger
256,VeriSign Inc.,@VERISIGN
257,Synopsys Inc.,@synopsys
258,Hershey Company,@HersheyCompany
259,Chipoltle Mexican Grill,@ChipotleTweets
260,Hartford Financial Services Group Inc.,@TheHartford
261,Ameriprise Financial Inc.,@ameriprise
262,M&T Bank Corporation,@MandT_Bank
263,Ventas Inc.,
264,Dollar Tree Inc.,@DollarTree
265,Skyworks Solutions Inc.,
266,Synchrony Financial ,@synchrony
267,ViacomCBS Inc. ,@ViacomCBS
268,Corteva Inc. ,@corteva
269,Halliburton Company,@Halliburton
270,Fastenal Company ,@FastenalCompany
271,Best Buy Co. Inc,@BestBuy
272,McCormick & Company Incorporated,@McCormickCorp
273,Fifth Third Bancorp,@FifthThird
274,CBRE Group Inc.,@CBRE
275,Mettler-Toledo International Inc.,@mettlertoledo
276,Essex Property Trust Inc.,@EssexProperties
277,Copart Inc.,@Copart
278,Boston Properties Inc.,@bxpboston
279,Western Digital Corporation,@westerndigital
280,Carnival Corporation,@CarnivalPLC
281,Clorox Company ,@CloroxCo
282,CDW Corp.,@CDWCorp
283,First Republic Bank,@firstrepublic
284,Keysight Technologies Inc.,@Keysight
285,KeyCorp,@keybank
286,Hewlett Packard Enterprise Co.,@HP
287,Ameren Corporation,@AmerenCorp
288,D.R. Horton,@DRHorton
289,Kraft Heinz Company,@KraftHeinzCo
290,CMS Energy Corporation,@ConsumersEnergy
291,Alexandria Real Estate Equities Inc.,
292,Vulcan Materials Company ,
293,Lennar Corporation,@Lennar
294,Equifax Inc.,@Equifax
295,Healthpeak Properties Inc.,
296,Unisted Airlines Holdings Inc.,@united
297,Arthur J. Gallagher & Co.,@GallagherGlobal
298,Church & Dwight Co.,
299,Laboratory Corporation of America ,
300,Cooper Companies,
301,Kellogg Company,@KelloggCompany
302,Freeport-McMoRan Inc. ,
303,International Paper Company,@IntlPaperCo
304,Citizens Financial Group Inc.,@CitizensBank
305,Maxim Integrated Products Inc.,@maximintegrated
306,Amcor PLC,@amcorpackaging
307,Dover Corporation,@DoverCorp
308,Omnicom Group Inc,@Omnicom
309,Fortinet Inc.,@Fortinet
310,Kansas City Southern,
311,Hess Corporation,@HessCorporation
312,Concho Resources Inc.,
313,MGM Resorts International ,@MGMResortsIntl
314,Martin Marietta Materials Inc.,
315,Evergy Inc.,
316,Cincinnati Financial Corporation,
317,CarMax Inc.,@CarMax
318,Conagra Brands Inc. ,@ConagraBrands
319,Cardinal Health Inc.,@cardinalhealth
320,NortonLifeLock Inc.,@symantec
321,Paycom Software Inc.,@Paycom
322,Ulta Beauty Inc.,@ultabeauty
323,Mid-America Apartment Communities Inc.,
324,Akamai Technologies Inc.,@Akamai
325,Citrix Systems Inc.,@citrix
326,Waters Corporation,@WatersCorp
327,Expedia Group Inc. ,@ExpediaGroup
328,Nucor Corporation,
329,Regions Financial Corporation,@askRegions
330,Broadridge Financial Solutions Inc.,@Broadridge
331,Quest Diagnostics Incorporated,@QuestDX
332,Garmin Ltd. ,@Garmin
333,Hologic Inc.,@Hologic
334,Xylem Inc.,@XylemInc
335,International Flavors and Fragrances Inc.,@IFF
336,Tiffany & Co.,@TiffanyAndCo
337,Gartner Inc.,@Gartner_inc
338,Seagate Technology PLC,@Seagate
339,Darden Restaurants Inc.,@darden
340,W.W. Grainger Inc.,@grainger
341,Baker Hughes Company,@bakerhughesco
342,Genuine Parts Company ,@genuinepartsco
343,Take-Two Interactive Software Inc.,
344,Westinghouse Air Brake Technologies Corporation,@WabtecCorp
345,Principal Financial Group Inc.,@principal
346,UDR Inc.,@UDRMarketing
347,Huntington Bancshares Incorporated,@Huntington_Bank
348,Atmos Energy Corporation,@atmosenergy
349,Alliant Energy Corp ,@alliantenergy
350,Extra Space Storage Inc.,@extraspace
351,Masco Corporation,@MASCOLMA
352,Loews Corporation,@Loews_Hotels
353,AmerisourceBergen Corporation,@Healthcare_ABC
354,CenturyLink Inc. ,@CenturyLink
355,Cboe Global Markets Inc. ,@CBOE
356,AES Corporation,@TheAESCorp
357,SVB Financial Group ,@SVB_Financial
358,Fox Corporation ,@FOXTV
359,Duke Realty Corporation,@DukeRealty
360,Lamb Weston Holdings Inc.,
361,Nasdaq Inc.,@Nasdaq
362,Incyte Corporation,@Incyte
363,Hasbro Inc. ,@Hasbro
364,Zebra Technologies Corporation,@ZebraTechnology
365,NVR Inc.,"@RyanHomes1948,@NVHomes1979"
366,CenterPoint Energy Inc.,@energyinsights
367,NetApp Inc. ,@NetApp
368,Celanese Corporation,@celanese
369,STERIS Plc,@STERIS
370,MarketAxess Holdings Inc.,@MarketAxess
371,Jacobs Engineering Group,@JacobsConnects
372,Varian Medical Systems Inc.,@VarianMedSys
373,Wynn Resorts Limited,
374,DENTSPLY SIRONA Inc. ,@DentsplySirona
375,Qorvo Inc. ,@QorvoInc
376,IDEX Corporation,
377,Hormel Foods Corporation,@HormelFoods
378,Jack Henry & Associates,@JackHenryAssoc
379,Allegion PLC,@AllegionPlc
380,Seagate Technology PLC,@Seagate
381,Arista Networks Inc.,@AristaNetworks
382,Brown-Forman Corporation,@brownforman
383,Expeditors International,@EXPD_Official
384,J.M. Smucker Company,@smuckers
385,Arconic Inc. ,@arconic
386,Host Hotels & Resorts Inc.,
387,Western Union Corporation,@WesternUnion
388,PulteGroup Inc. ,@PulteHomes
389,Lincoln National Corporation,@lincolnfingroup
390,Diamondback Energy Inc.,
391,American Airlines Group,@AmericanAir
392,Everest Re Group Ltd.,@EverestIns
393,Tractor Supply Company,@TractorSupply
394,United Rentals Inc.,@UnitedRentals
395,Avery Dennison Corporation,@AveryDennison
396,Universal Health Services Inc.,@UHS_Inc
397,Mylan N.V.,@MylanNews
398,W. R. Berkley Corporation ,@WRBerkleyCorp
399,Textron Inc. ,@Textron
400,Norwegian Cruise Line,@CruiseNorwegian
401,Huntington Ingalls Industries Inc.,@HIIndustries
402,NiSource Inc.,@NiSourceInc
403,Molson Coors Beverage Company,@MolsonCoors
404,WestRock Company,@WestRock
405,Vornado Realty Trust,@vornado
406,PerkinElmer Inc.,@PerkinElmer
407,Apache Corporation,@ApacheCorp
408,Henry Schein Inc.,@HenrySchein
409,Regency Centers Corporation ,@regencycenters
410,Iron Mountain Inc.,@IronMountain
411,C.H. Robinson Worldwide Inc.,@CHRobinson
412,Advance Auto Parts Inc.,@AdvanceAuto
413,Albemarle Corporation,@AlbemarleCorp
414,Campbell Soup Company,@CampbellSoupCo
415,Globe Life Inc.,@GlobeLife
416,NRG Energy Inc.,@nrgenergy
417,Packaging Corporation of America,@packagingcorp
418,LKQ Corporation,@LKQCorp
419,Federal Realty Investment Trust,@FederalRealty
420,Fortune Brands Home & Security,@FBHS_News
